39,Corporation Ames,2021,1077921,Local Shop,Drive-by Attack
40,Inc Wal-Mart,2015,2250560,Local Shop,Supply chain Attack
41,"Corporation Administaff,",2016,4062977,Hospital,Business Email Compromise Attack
42,Mutual,2020,945714,Hardware Store,Zero-Day Exploit Attack
43,Industries,2014,1829392,Burget Franchaise,Phishing
44,&,2014,3435388,Goverment,Man In The Middle Attack
45,Corporation Value,2020,1764900,Hospital,Zero-Day Exploit Attack
46,Inc VF,2021,2430410,Burget Franchaise,Phishing
47,Inc Union,2019,2309862,Local Shop,51% Attack
48,Corporation US,2020,1790544,Train Station,Supply chain Attack
49,Inc. AmerisourceBergen,2022,4605510,Small Business,DNS Tunneling Attack
50,Companies,2011,1998900,Train Station,Drive-by Attack
51,Markets,2010,2508027,Orphanage,Identity-Based Attack
52,Corp Unisource,2015,2874872,Shooting Range,Phishing
53,Corporation America,2018,1232038,Local Shop,DDoS Attack
54,Company Air,2017,3850200,Non-Profit,Zero-Day Exploit Attack
55,Grainger,2015,3700125,School,Phishing
56,Resources,2016,2757104,Shooting Range,Insider Attack
57,Inc. Affiliated,2020,4134324,Supermarket,DNS Tunneling Attack
58,Disney,2013,2327424,Hardware Store,SQL Injection Attack
59,Industries,2013,1687105,Hospital,Insider Attack
60,Corporation Agilent,2017,4880040,Small Business,SQL Injection Attack
61,Industries,2022,5326825,Kindergarden,51% Attack
62,Corporation The,2015,1774812,Hardware Store,DDoS Attack
63,Coors,2014,5125302,Pizzaria,Insider Attack
64,Corporation Wakenhut,2020,4671936,Sandwitch Shop,DoS Attack
65,Corporation URS,2018,3520595,Shooting Range,Cryptojacking Attack
66,Corporation AMERCO Ameren,2014,5682270,Orphanage,Insider Attack
67,Inc VF,2017,1132501,Orphanage,Supply chain Attack
68,Oncology,2010,6537928,Bank,Business Email Compromise Attack
69,Management,2022,839937,Hospital,Spoofing
70,Inc United,2012,2321690,Small Business,Cryptojacking Attack
71,Company W.R.,2014,2499271,Train Station,Zero-Day Exploit Attack
72,Manufacturing,2019,1821816,Pizzaria,DoS Attack
73,"Parts,",2014,1612789,Small Business,Business Email Compromise Attack
74,Interactive USFreighways,2011,598882,Sandwitch Shop,Identity-Based Attack
75,Corp Tyson,2015,6375750,Local Shop,Zero-Day Exploit Attack
76,Steel,2012,2089696,Small Business,SQL Injection Attack
77,Corporation Value,2019,4052279,Small Business,Cross-site Scripting Attack
78,Allstate,2015,5097144,Pizzaria,Insider Attack
79,Inc WESCO,2018,3631946,Orphanage,Zero-Day Exploit Attack
80,Corp Viasystems,2020,5718800,Sandwitch Shop,DNS Tunneling Attack
81,Inc. Affiliated,2015,3826683,Sandwitch Shop,DoS Attack
82,Networks,2018,7657570,Orphanage,51% Attack
83,Standard,2021,2194769,Bank,51% Attack
84,Inc. ADC,2017,3107328,Shooting Range,Cryptojacking Attack
85,International,2016,1889975,Hardware Store,Drive-by Attack
86,Water,2016,3128078,Goverment,Business Email Compromise Attack
87,Resources,2012,3834003,Orphanage,Supply chain Attack
88,Holding,2022,3763584,Hospital,51% Attack
89,Industries,2017,5553956,Sandwitch Shop,DNS Tunneling Attack
90,Inc. Affiliated,2014,1986570,Sandwitch Shop,51% Attack
91,Works,2013,2983253,Pizzaria,Drive-by Attack
92,Edwards,2016,2062088,Goverment,Drive-by Attack
93,Resources,2011,2856681,Hardware Store,Supply chain Attack
94,Inc Viad,2010,8485662,Local Shop,Spoofing
95,Company WGL,2023,6355025,Hospital,Spoofing
96,Stores,2023,1474752,Bank,Identity-Based Attack
97,Grainger,2020,5723679,Orphanage,Cross-site Scripting Attack
98,Inc. American,2019,9092244,Supermarket,Phishing
99,"Chemicals,",2018,6607359,Kindergarden,Identity-Based Attack
100,Corporation Amerada,2017,5159200,Kindergarden,Business Email Compromise Attack
101,Corporation ACT,2012,2105042,Shooting Range,Zero-Day Exploit Attack
102,Power,2019,8485074,Orphanage,Supply chain Attack
103,Inc Wachovia,2020,5999956,Hardware Store,Man In The Middle Attack
104,Company W.R.,2014,9366552,Bank,Supply chain Attack
105,Digital,2010,256305,Supermarket,Cross-site Scripting Attack
106,Industries,2020,7183938,Hardware Store,51% Attack
107,Corporation Unified,2016,8948838,Goverment,Identity-Based Attack
108,"Telecommunications,",2018,843804,Small Business,Cryptojacking Attack
109,"Inc. Amazon.com,",2020,10162833,Bank,Man In The Middle Attack
110,Corporation Universal,2019,9233070,Pizzaria,DNS Tunneling Attack
111,Inc Viad,2022,6361854,Supermarket,DDoS Attack
112,Corporation The,2014,2650592,Supermarket,Spoofing
113,"Inc. Airborne,",2012,2153102,Bank,Phishing
114,Corporation Agilent,2014,8569380,Small Business,Insider Attack
115,Inc Varco,2021,6870675,Shooting Range,DoS Attack
116,Hardware,2013,2441104,Bank,Phishing
117,Corp Unisource,2013,6855381,Local Shop,Spoofing
118,"Energy,",2018,3291374,School,Malware
119,Information,2022,8783033,Goverment,DDoS Attack
120,Mutual,2023,223200,Burget Franchaise,DNS Tunneling Attack
121,Holdings,2014,8358317,Hospital,Insider Attack
122,Inc Universal,2013,10750396,Pizzaria,Identity-Based Attack
123,Grace,2022,11155608,Train Station,Malware
124,"Services,",2013,4852120,Bank,Man In The Middle Attack
125,Interactive USFreighways,2022,7668250,Goverment,DDoS Attack
126,Systems,2013,2283498,Shooting Range,Malware
127,Inc Valero,2011,7967599,School,Malware
128,Inc Visteon,2012,8344448,Small Business,Zero-Day Exploit Attack
129,Resources,2021,7535019,School,Insider Attack
130,Corporation US,2020,3032510,Hospital,Insider Attack
131,"Incorporated Allergan,",2014,5793999,Small Business,51% Attack
132,Energy,2016,12133836,Small Business,DoS Attack
133,Bancorp U.S.,2015,3951297,Kindergarden,Zero-Day Exploit Attack
134,Technologies,2015,5234576,Shooting Range,Man In The Middle Attack
135,Communications,2019,12550410,Burget Franchaise,Zero-Day Exploit Attack
136,"Parts,",2013,11059248,Sandwitch Shop,Malware
137,"Industries,",2020,4750338,Bank,DNS Tunneling Attack
138,"Inc. Amazon.com,",2021,1099998,Hospital,Business Email Compromise Attack
139,3Com,2018,3923692,Small Business,SQL Injection Attack
140,Financial,2019,13049820,School,Insider Attack
141,Companies,2010,6748542,Hardware Store,DoS Attack
142,Inc. American,2023,9471400,Burget Franchaise,Code Injections Attack
143,Corporation The,2012,2175030,Small Business,Spoofing
144,Energy,2016,8890560,Orphanage,SQL Injection Attack
145,Industries,2020,9723555,School,Cryptojacking Attack
146,Technologies,2022,37230,Orphanage,Business Email Compromise Attack
147,Corporation The,2020,12568059,Kindergarden,Malware
148,Corporation Wakenhut,2014,1370332,Train Station,DoS Attack
149,Corporation Aetna,2022,5022194,Hardware Store,Phishing
150,Corporation Value,2023,1528500,Kindergarden,Drive-by Attack
151,Technologies,2013,1631706,Orphanage,Business Email Compromise Attack
152,Works,2019,6646656,Kindergarden,Zero-Day Exploit Attack
153,Inc. Alberto-Culver,2014,9980802,Small Business,Business Email Compromise Attack
154,"Inc. ALLETE,",2021,8558704,Pizzaria,Cross-site Scripting Attack
155,"Stores,",2010,12314440,Burget Franchaise,Spoofing
156,Gas,2012,13628940,Small Business,Spoofing
157,Inc Western,2015,6227562,Orphanage,Spoofing
158,Group,2010,13546604,Supermarket,Drive-by Attack
159,Inc Weatherford,2023,3859725,Pizzaria,Drive-by Attack
160,Inc. Adobe,2010,5857920,Supermarket,Insider Attack
161,Oncology,2016,15429113,Hardware Store,Insider Attack
162,Inc U.S.,2016,13892472,Supermarket,Code Injections Attack
163,Service,2017,3818927,Sandwitch Shop,DNS Tunneling Attack
164,Inc. United,2022,13280720,Supermarket,51% Attack
165,"Incorporated Allergan,",2011,5484435,School,DoS Attack
166,"Inc. ALLETE,",2015,13851040,Local Shop,DDoS Attack
167,Rentals,2018,9290544,Supermarket,Man In The Middle Attack
168,Inc. Agway,2023,9910824,Supermarket,Identity-Based Attack
169,Corporation ACT,2010,9388119,Orphanage,Insider Attack
170,Resources,2017,14590080,Non-Profit,Cryptojacking Attack
171,Energy,2019,5480037,Hospital,Supply chain Attack
172,Corp. Adams,2017,10334792,Kindergarden,Identity-Based Attack
173,"Parts,",2011,16798473,Shooting Range,51% Attack
174,Materials,2016,13567650,Sandwitch Shop,Business Email Compromise Attack
175,Inc. Alcoa,2013,17199525,Small Business,Identity-Based Attack
176,Berkley,2015,9376400,Sandwitch Shop,Cryptojacking Attack
177,Company American,2019,16386660,Goverment,Spoofing
178,Inc. Allmerica,2015,16693374,Non-Profit,Supply chain Attack
179,Fitch,2015,15420134,School,Phishing
180,Company Advance,2018,17994420,Kindergarden,Cross-site Scripting Attack
181,Resources,2021,13741882,Small Business,Cross-site Scripting Attack
182,Corporation ACT,2021,9002448,Kindergarden,Cryptojacking Attack
183,Inc US,2013,3162789,Burget Franchaise,Insider Attack
184,"Inc. Airborne,",2013,5989384,Hospital,DDoS Attack
185,"Energy,",2023,12862310,Local Shop,Cross-site Scripting Attack
186,Corporation UGI,2014,15004992,Hardware Store,Insider Attack
187,and,2014,8322248,Hospital,Identity-Based Attack
188,Inc. Allmerica,2020,11498268,Hospital,Cryptojacking Attack
189,Financial,2021,9475893,Train Station,Identity-Based Attack
190,Energy,2014,10172600,Burget Franchaise,Spoofing
191,Auto,2012,5416378,School,DNS Tunneling Attack
192,Foods,2012,1773120,Supermarket,Zero-Day Exploit Attack
193,Corp Unisys,2019,299536,Hospital,SQL Injection Attack
194,Corporation Unova,2012,7671924,Hardware Store,51% Attack
195,Inc. AmerisourceBergen,2018,16653000,Burget Franchaise,Code Injections Attack
196,Inc. Abbott,2013,12183752,Bank,Spoofing
197,Grace,2012,6631217,Hardware Store,Spoofing
198,Parcel,2021,3326796,Small Business,DoS Attack
199,Inc Universal,2017,893112,Local Shop,DDoS Attack
200,Group,2014,11288400,Train Station,Man In The Middle Attack
201,Corp. Adams,2023,4027638,Non-Profit,DNS Tunneling Attack
202,Inc. UAL,2020,2061208,Hardware Store,Spoofing
203,Stores,2018,12111792,Small Business,DoS Attack
204,Inc. Adobe,2018,1410660,Hospital,Phishing
205,Inc. Alberto-Culver,2015,89380,Small Business,Drive-by Attack
206,Inc. Apartment,2022,4449188,Local Shop,Spoofing
207,Laboratories Abercrombie,2011,19397556,Hospital,DNS Tunneling Attack
208,Inc. Amkor,2012,11977680,Kindergarden,Drive-by Attack
209,Inc. Alleghany,2018,4949956,School,DoS Attack
210,Inc. Apartment,2014,4348680,Shooting Range,Code Injections Attack
211,and,2022,14311497,Hardware Store,Phishing
212,Inc VF,2023,6572,Supermarket,Zero-Day Exploit Attack
213,Auto,2020,21252288,Hardware Store,Business Email Compromise Attack
214,Restaurant,2012,5068376,Hospital,Insider Attack
215,"Group,",2023,1967035,Small Business,DoS Attack
216,Manufacturing,2017,5279040,Local Shop,SQL Injection Attack
217,Restaurant,2016,17661413,Hardware Store,DDoS Attack
218,Service,2021,8447936,Pizzaria,Supply chain Attack
219,Inc Vulcan,2015,3965871,Hardware Store,Supply chain Attack
220,Express,2012,21865580,School,DDoS Attack
221,Management,2022,13648297,Hardware Store,Code Injections Attack
222,Stevens,2020,13750680,Hospital,Business Email Compromise Attack
223,Grace,2017,21217558,Hospital,DoS Attack
224,Inc. TruServ,2015,17908800,Orphanage,51% Attack
225,Corporation Agilent,2018,20065950,Pizzaria,Cryptojacking Attack
226,3Com,2011,7200586,Burget Franchaise,DNS Tunneling Attack
227,"Group,",2016,10584102,Non-Profit,Supply chain Attack
228,Allstate,2022,9063456,Supermarket,Supply chain Attack
229,Corporation Allied,2010,13675651,School,Insider Attack
230,Financial,2010,21602290,School,Zero-Day Exploit Attack
231,Edwards,2018,2929080,Sandwitch Shop,Man In The Middle Attack
232,Corp Viasystems,2012,4034712,Bank,DDoS Attack
233,Stevens,2015,3596122,Supermarket,Code Injections Attack
234,City,2023,10306296,Non-Profit,Man In The Middle Attack
235,Corp Tyson,2022,21339880,Sandwitch Shop,Business Email Compromise Attack
236,&,2015,21383960,Hardware Store,Identity-Based Attack
237,International,2014,17969340,Burget Franchaise,51% Attack
238,Incorporated Unitrin,2020,10636934,Small Business,DDoS Attack
239,"Inc. Amazon.com,",2018,1307330,Sandwitch Shop,DoS Attack
240,Manufacturing,2022,14588160,School,Cross-site Scripting Attack
241,Inc. Adobe,2010,23211674,School,51% Attack
242,Inc Werner,2018,21358678,Hospital,Business Email Compromise Attack
243,Defense,2014,2604231,Non-Profit,Supply chain Attack
244,Inc Viad,2012,2614216,Goverment,51% Attack
245,Corporation Volt,2014,17971730,Small Business,Cross-site Scripting Attack
246,"Industries,",2017,20161914,Hardware Store,Code Injections Attack
247,"Chemicals,",2015,22689667,Pizzaria,Man In The Middle Attack
248,Health,2019,9119952,Sandwitch Shop,Identity-Based Attack
249,"Group,",2012,4980000,Supermarket,Malware
250,"Outfitters,",2023,19597250,Pizzaria,DDoS Attack
251,Inc. Alberto-Culver,2012,14134312,Bank,Spoofing
252,Resources,2017,23953356,Pizzaria,Cryptojacking Attack
253,Corporation Amerada,2014,8102325,Local Shop,Drive-by Attack
254,Micro,2020,22438614,Local Shop,Phishing
255,Energy,2020,6228120,Bank,Cross-site Scripting Attack
256,&,2023,19458048,Small Business,Business Email Compromise Attack
257,Management,2017,22553549,Non-Profit,Identity-Based Attack
258,Pacific,2021,20252484,Bank,Man In The Middle Attack
259,Corporation The,2013,491323,Burget Franchaise,SQL Injection Attack
260,Inc Varco,2018,24674000,Goverment,Phishing
261,Industries,2014,23081013,Orphanage,Drive-by Attack
262,Corporation United,2022,3429580,Orphanage,SQL Injection Attack
263,Communications,2013,993088,Small Business,Phishing
264,Standard,2017,10962864,Local Shop,Phishing
265,Corporation ALLTEL,2015,130380,Local Shop,Phishing
266,"Energy,",2013,20016500,Pizzaria,Business Email Compromise Attack
267,Electric,2013,6491037,Pizzaria,Identity-Based Attack
268,Western,2018,16870332,Goverment,Cross-site Scripting Attack
269,"Services,",2023,1619380,Local Shop,DDoS Attack
270,Corporation Unified,2012,2434320,Shooting Range,Spoofing
271,Inc. UAL,2020,6406982,Burget Franchaise,Zero-Day Exploit Attack
272,Express,2020,26794720,Shooting Range,Cross-site Scripting Attack
273,Mutual,2017,25064676,School,Phishing
274,Inc Washington,2018,25694076,School,Code Injections Attack
275,Corporation AMERCO Ameren,2021,16228850,Kindergarden,Phishing
276,Oncology,2022,19426536,Hardware Store,Phishing
277,&,2020,1640948,Train Station,Cross-site Scripting Attack
278,Grainger,2019,966328,Supermarket,Cryptojacking Attack
279,Corp Unisys,2018,12991356,Train Station,Code Injections Attack
280,Inc United,2014,22638280,Burget Franchaise,Cryptojacking Attack
281,Group,2022,8403586,Train Station,Identity-Based Attack
282,Inc. Alleghany,2018,2418714,Small Business,Supply chain Attack
283,Corporation ALLTEL,2021,13686729,Small Business,Man In The Middle Attack
284,Works,2014,17216364,Non-Profit,Cryptojacking Attack
285,Forest,2012,15217290,Supermarket,Zero-Day Exploit Attack
286,Corp Viasystems,2022,15229786,Hospital,SQL Injection Attack
287,Materials,2010,27874588,Shooting Range,Man In The Middle Attack
288,Stores,2013,10225440,Supermarket,DoS Attack
289,Company Advance,2012,7815427,Small Business,SQL Injection Attack
290,Stores,2010,585510,Sandwitch Shop,SQL Injection Attack
291,Corporation TRW,2021,15360435,School,Man In The Middle Attack
292,Industries,2019,2310596,School,Identity-Based Attack
293,Corp 3M,2014,18420617,Shooting Range,Spoofing
294,Inc Varco,2013,2658936,Burget Franchaise,DoS Attack
295,West,2019,5558095,Small Business,DDoS Attack
296,Corporation Aetna,2018,14657920,School,Code Injections Attack
297,Corporation ALLTEL,2011,430353,Bank,51% Attack
298,Energy,2011,25930172,Supermarket,Zero-Day Exploit Attack
299,Fitch,2017,6075381,School,Cryptojacking Attack
300,Waste,2023,2406600,Pizzaria,Cryptojacking Attack
301,Auto,2010,14640038,Goverment,Code Injections Attack
302,Corporation Allegheny,2020,26554256,Train Station,DoS Attack
303,"Inc. AdvancePCS,",2010,21194244,Shooting Range,Insider Attack
304,Micro,2013,22139104,Burget Franchaise,DNS Tunneling Attack
305,Corporation America,2015,13840595,School,51% Attack
306,Inc Watsco,2019,6034320,Kindergarden,Insider Attack
307,Inc. Abbott,2012,29961051,Kindergarden,51% Attack
308,Micro,2016,10356808,Orphanage,Identity-Based Attack
309,Airways,2015,10306386,Hardware Store,Code Injections Attack
310,Corporation AMERCO Ameren,2020,11628720,Train Station,Supply chain Attack
311,Corporation Value,2018,2874573,Pizzaria,Drive-by Attack
312,Gas,2015,29785392,Orphanage,Phishing
313,Industries,2022,25700117,Train Station,Insider Attack
314,Inc USA,2022,12566594,Orphanage,Code Injections Attack
315,Co. Waste,2015,30084075,Sandwitch Shop,DoS Attack
316,"Inc. Airborne,",2023,6412588,Hospital,DDoS Attack
317,Corporation Ames,2018,22288587,Shooting Range,Drive-by Attack
318,Inc. UAL,2014,13142622,Hardware Store,Spoofing
319,Systems,2015,16457529,Hardware Store,Supply chain Attack
320,Corp Tyson,2023,19940160,Orphanage,Business Email Compromise Attack
321,Company Advance,2018,15762384,School,Insider Attack
322,International,2018,10893904,Kindergarden,Cryptojacking Attack
323,Power,2022,14051792,Hardware Store,Code Injections Attack
324,Corporation Aetna,2013,32142420,Local Shop,Drive-by Attack
325,Services,2010,21968375,Hardware Store,SQL Injection Attack
326,West,2015,15852728,Burget Franchaise,DNS Tunneling Attack
327,Co Wallace,2019,9964998,Local Shop,Phishing
328,Services,2022,7989096,Goverment,Cryptojacking Attack
329,Communications,2021,13518610,Train Station,Identity-Based Attack
330,International,2019,12700710,Hardware Store,DoS Attack
331,Corporation Valspar,2019,2437153,Hospital,Cryptojacking Attack
332,Auto,2022,8052660,Kindergarden,Man In The Middle Attack
333,Inc Western,2018,26559081,Orphanage,Malware
334,International,2015,1695718,Orphanage,DoS Attack
335,Inc Vulcan,2011,10072110,Train Station,Supply chain Attack
336,Inc. Abbott,2017,29561616,Pizzaria,Drive-by Attack
337,Inc Universal,2022,3857639,Orphanage,DDoS Attack
338,Corp 3M,2014,3427658,Small Business,DDoS Attack
339,Corporation Valspar,2013,11571087,Hospital,51% Attack
340,Corporation Agilent,2016,32945320,Bank,DNS Tunneling Attack
341,Inc Western,2014,8982622,Kindergarden,Supply chain Attack
342,Services,2020,5345460,Hardware Store,Drive-by Attack
343,Markets,2017,3598413,School,51% Attack
344,Corp 3M,2011,22628664,School,Business Email Compromise Attack
345,"Chemicals,",2015,16218105,Pizzaria,Zero-Day Exploit Attack
346,Berkley,2019,30860086,Burget Franchaise,Drive-by Attack
347,Corporation Amerada,2023,21210722,Small Business,SQL Injection Attack
348,Inc. Allegheny,2023,20339904,Hardware Store,51% Attack
349,"Group,",2020,33937109,Bank,Code Injections Attack
350,Industries,2014,13239100,Non-Profit,Cryptojacking Attack
351,Hardware,2019,32812182,Kindergarden,Identity-Based Attack
352,Inc VF,2011,8508896,Local Shop,Malware
353,Inc Walt,2013,4160105,Orphanage,DoS Attack
354,Corporation URS,2020,35126358,Orphanage,Insider Attack
355,Manufacturing,2020,18146890,Sandwitch Shop,Drive-by Attack
356,Company Albertson,2023,34879812,Goverment,51% Attack
357,Company W.R.,2012,13336806,Hardware Store,Supply chain Attack
358,Corporation UST,2017,31999114,Burget Franchaise,SQL Injection Attack
359,Inc United,2021,18089651,Orphanage,Man In The Middle Attack
360,Entertainment,2018,3428280,Shooting Range,Man In The Middle Attack
361,Post,2021,33432210,Sandwitch Shop,SQL Injection Attack
362,Company Albertson,2015,35340974,Kindergarden,Supply chain Attack
363,Corp 3M,2011,4755300,Small Business,DoS Attack
364,Foods,2010,33972120,Local Shop,Zero-Day Exploit Attack
365,Works,2010,31523955,Local Shop,DoS Attack
366,Inc United,2017,10471260,Bank,DDoS Attack
367,Products,2020,24286225,Non-Profit,DNS Tunneling Attack
368,Corporation The,2013,27187472,School,DNS Tunneling Attack
369,Corporation United,2021,9938277,Non-Profit,Cryptojacking Attack
370,"Stores,",2014,15288400,Kindergarden,SQL Injection Attack
371,Corporation USG,2010,7601048,Local Shop,Cross-site Scripting Attack
372,Power,2019,13831332,Goverment,DDoS Attack
373,International,2012,4855714,Goverment,51% Attack
374,Corporation Allegheny,2018,7822584,Train Station,Drive-by Attack
375,Inc Wells,2015,3391500,Orphanage,Man In The Middle Attack
376,Western,2016,16319904,Train Station,Business Email Compromise Attack
377,Company Advance,2018,5288556,Supermarket,Identity-Based Attack
378,Grace,2022,31852926,Orphanage,Drive-by Attack
379,Rentals,2021,31409246,Shooting Range,Cryptojacking Attack
380,Company Wendy,2022,33861420,Shooting Range,Insider Attack
381,Corporation Volt,2023,31338393,School,Malware
382,Corporation UST,2014,25340734,Kindergarden,Phishing
383,Products,2019,18619928,Hospital,51% Attack
384,Corporation Ames,2014,27644928,Sandwitch Shop,DoS Attack
385,Inc Western,2016,68915,Pizzaria,Zero-Day Exploit Attack
386,Allstate,2014,3735322,Burget Franchaise,DDoS Attack
387,Inc Weis,2019,36136125,School,DDoS Attack
388,Hess,2021,25479184,Pizzaria,Zero-Day Exploit Attack
389,Service,2011,30548170,Sandwitch Shop,Zero-Day Exploit Attack
390,Inc. Alleghany,2010,32741280,Hardware Store,Man In The Middle Attack
391,&,2019,36585479,Small Business,DDoS Attack
392,Fargo,2012,15143352,Local Shop,SQL Injection Attack
393,Inc. Affiliated,2014,13216590,Hospital,DDoS Attack
394,Inc Werner,2023,30237924,Kindergarden,DDoS Attack
395,Grace,2017,27449735,Bank,Phishing
396,3Com,2018,13075128,School,Phishing
397,"Parts,",2012,31272881,School,Identity-Based Attack
398,Inc Vishay,2012,14434664,Hardware Store,Drive-by Attack
399,"Industries,",2011,2804970,Train Station,SQL Injection Attack
400,Works,2013,2026000,School,Spoofing
401,Services,2015,15948973,Hospital,Identity-Based Attack
402,Corporation Verizon,2020,2660838,Train Station,DDoS Attack
403,Incorporated AGCO,2022,7001722,Shooting Range,Spoofing
404,International,2022,16752668,School,Supply chain Attack
405,Corporation Verizon,2014,33403590,Burget Franchaise,Identity-Based Attack
406,"Energy,",2021,16493750,Non-Profit,DoS Attack
407,Manufacturing,2013,31889671,School,Supply chain Attack
408,Inc United,2019,2456976,School,Spoofing
409,Inc. Adelphia,2021,37325749,Small Business,Cryptojacking Attack
410,"Holdings,",2010,1370220,Train Station,Business Email Compromise Attack
411,Greetings,2017,6335154,Small Business,Identity-Based Attack
412,Corporation Union,2010,5045352,Goverment,DDoS Attack
413,Inc VF,2018,9184707,Non-Profit,DDoS Attack
414,Alpine,2014,7129080,Shooting Range,Code Injections Attack
415,Inc Weis,2020,13903745,School,Phishing
416,"Group,",2020,24126336,Supermarket,Cross-site Scripting Attack
417,Inc Universal,2023,38332725,Small Business,Cryptojacking Attack
418,Management,2015,1231010,Hospital,DDoS Attack
419,Incorporated Adolph,2012,578220,Shooting Range,51% Attack
420,Inc. Agway,2014,7887180,Non-Profit,Business Email Compromise Attack
421,Management,2020,21894105,Sandwitch Shop,Identity-Based Attack
422,Service,2014,26317608,Hospital,Identity-Based Attack
423,Inc. Acterna,2021,32860755,Non-Profit,Cross-site Scripting Attack
424,Inc. American,2014,12659792,Goverment,DDoS Attack
425,Inc. Abbott,2018,19828375,Burget Franchaise,Identity-Based Attack
426,Networks,2021,12781704,Small Business,Man In The Middle Attack
427,Co. Waste,2011,16248631,Small Business,Supply chain Attack
428,Incorporated AGCO,2012,24882208,Non-Profit,Cross-site Scripting Attack
429,&,2019,23890152,School,Drive-by Attack
430,Health,2015,24876360,Shooting Range,Spoofing
431,Stationers,2022,18150703,School,Malware
432,Laboratories Abercrombie,2015,3752352,Burget Franchaise,Code Injections Attack
433,Inc US,2023,11958594,Goverment,DoS Attack
434,Corporation American,2011,932232,Non-Profit,Insider Attack
435,Corporation Unified,2022,26944770,Shooting Range,DDoS Attack
436,Defense,2019,22898284,Bank,Identity-Based Attack
437,Stationers,2014,26285550,Small Business,Spoofing
438,Inc. Amgen,2023,27480996,Goverment,51% Attack
439,Inc United,2011,22391195,Train Station,Supply chain Attack
440,"Devices,",2021,14966600,Kindergarden,SQL Injection Attack
441,Inc. Alcoa,2020,26275662,Hardware Store,Drive-by Attack
442,Micro,2018,8843536,Pizzaria,DDoS Attack
443,Corporation Allied,2021,16989050,Orphanage,Man In The Middle Attack
444,"Services,",2021,12767664,Hardware Store,SQL Injection Attack
445,Post,2023,16100100,Local Shop,DNS Tunneling Attack
446,AES,2011,11472458,School,Man In The Middle Attack
447,Corp Unisys,2022,11155779,Orphanage,Malware
448,Inc Western,2021,6598592,Sandwitch Shop,Identity-Based Attack
449,Communications,2020,12575143,Supermarket,Insider Attack
450,Holdings,2012,26732250,Non-Profit,51% Attack
451,"Group,",2012,42846804,Supermarket,Supply chain Attack
452,Power,2011,6530948,School,Code Injections Attack
453,Group,2019,42391740,Sandwitch Shop,Identity-Based Attack
454,Fargo,2019,10940492,Train Station,Supply chain Attack
455,International,2015,17361435,Bank,Phishing
456,Inc. Amgen,2019,30474024,Sandwitch Shop,Insider Attack
457,Water,2010,20218137,Bank,SQL Injection Attack
458,Inc. Abbott,2023,7023430,School,Phishing
459,Company Air,2016,27494559,Small Business,Code Injections Attack
460,Group,2012,10539520,Local Shop,Drive-by Attack
461,Corporation TRW,2012,17776621,Small Business,Code Injections Attack
462,"Chemicals,",2021,43600788,Train Station,Insider Attack
463,Co W.W.,2023,18181547,School,Cross-site Scripting Attack
464,Technologies,2020,33127280,Shooting Range,Cross-site Scripting Attack
465,Corporation UST,2023,40782360,Pizzaria,Supply chain Attack
466,Management,2022,18637204,Goverment,Cross-site Scripting Attack
